id,iddrink,idingredient,strmeasure
0,11288,132,2 oz
1,11288,222,Juice of 1/2
2,11288,39,1
3,13837,292,1 part
4,13837,290,5 parts
5,11010,329,1 oz
6,11010,251,1 oz
7,11010,222,Juice of 1
8,11010,222,1
9,11987,144,1 oz
10,11987,15,1 1/2 oz
11,11987,268,1/2 oz cream
12,14181,19,1
13,14181,310,1/2 oz
14,14181,251,1/2 oz
15,14181,8,1
16,17066,350,30 ml
17,17066,156,30 ml
18,17066,62,45 ml
19,17066,278,1/2 glass crushed
20,11338,8,3/4 oz
21,11338,156,3/4 oz
22,11338,283,3/4 oz
23,11338,312,1
24,11338,182,1
25,17079,72,2 1/2 oz
26,17079,263,1/2 oz
27,13501,97,01-Mar
28,13501,263,01-Mar
29,13501,304,01-Mar
30,11005,132,1 1/2 oz
31,11005,251,1 1/2 tsp
32,11005,66,1 tblsp
33,11005,264,1 tsp
34,11005,213,1
35,11005,210,1
36,11844,198,2 oz
37,11844,317,Juice of 1/2
38,11844,264,1 tsp
39,11844,100,(Claret)
40,11844,317,1
41,11844,146,1
42,17230,156,2 oz
43,17230,235,1 tsp
44,17230,236,Juice of 1/2
45,17230,23,Top up with
46,17230,222,Garnish
47,11368,156,2 oz
48,11368,251,1/2 oz
49,14157,70,4 cl
50,14157,197,16 cl
51,15409,19,3 parts
52,15409,315,1 part
53,13128,196,1/2 pint
54,13128,322,1/2 pint
55,13128,223,1 dash
56,11128,132,3/4 oz
57,11128,8,3/4 oz
58,11128,251,3/4 oz
59,11128,222,Juice of 1/2
60,11476,127,1 1/2 oz
61,11476,283,3/4 oz
62,11476,135,2 dashes
63,11476,306,1
64,11052,156,2 oz
65,11052,289,1 oz Green Ginger
66,11052,184,1 tsp
67,11052,222,1
68,12944,100,1 L
69,12944,220,125 ml
70,12944,264,60 gr
71,12944,6,1
72,12944,91,3
73,12944,182,1 tblsp
74,11418,156,1 1/2 oz
75,11418,235,1 tsp
76,11418,131,1 tblsp
77,11418,47,3 chunks
78,11418,202,2
79,11418,312,1
80,13839,283,3/4 oz
81,13839,30,2 1/2 oz Blended
82,13839,117,dash
83,13839,278,2 or 3
84,13839,174,1
85,13839,13,1 twist of
86,16958,197,3 parts
87,16958,150,1 part
88,16958,6,3 dashes
89,11664,283,3/4 oz
90,11664,156,1 1/2 oz
91,15200,331,1 oz
92,15200,97,1/2 oz
93,15200,7,4 oz
94,15200,235,1/2 oz
95,13222,125,1/2 oz
96,13222,254,1/2 oz
97,11027,97,1 1/2 oz
98,11027,66,1/2 oz
99,11027,43,1
100,12055,156,1 oz
101,12055,207,2 oz
102,12055,108,1 whole
103,12055,39,1
104,15941,154,1 oz
105,15941,283,1 oz red
106,15941,182,Twist of
107,15941,13,Twist of
108,13936,161,5 oz Bacardi
109,13936,320,frozen
110,13936,141,frozen
111,11580,30,2 oz
112,11580,208,1 oz
113,11580,264,1 tsp superfine
114,11580,43,3 oz
115,11580,174,1
116,11580,300,1
117,17251,154,1 oz
118,17251,283,1 oz
119,17251,168,1 1/4 oz
120,17251,250,1
121,17002,28,1/2 oz
122,17002,350,1/2 oz
123,17002,251,1/2 oz
124,17002,288,1/2 oz
125,17002,139,1/2 oz
126,17002,171,Fill with
127,11011,251,1 oz
128,11011,329,1 oz
129,11011,208,1/2 tsp
130,17188,132,1 1/2 oz
131,17188,11,1 oz
132,17188,175,1/2 tsp
133,17188,235,1/2 tsp
134,17188,174,1
135,14306,97,1 part
136,14306,347,1 part
137,14306,7,1 part
138,12856,220,1 cup
139,12856,113,3/4-1 cup
140,12856,19,4 tsp
141,12856,345,1 cup
142,12856,279,4 tsp
143,15226,161,1 shot Bacardi
144,15226,150,1 shot
145,15226,11,1 shot
146,15226,7,1
147,15226,235,1
148,15226,57,1
149,14594,218,5 cl
150,14594,208,2 cl
151,14594,278,cubes
152,14594,317,or lime
153,12434,329,1 1/2 oz
154,12434,7,1 tblsp
155,12434,135,2 dashes
156,15639,72,1/2 oz
157,15639,125,1/2 oz
158,15639,97,1/2 oz
159,15639,161,1/2 oz Bacardi
160,15639,178,1 oz
161,13940,156,2 oz dry
162,13940,293,4 oz
163,13940,208,0.75 oz
164,17168,251,1/2 jigger
165,17168,97,3 shots
166,17168,322,1/2 cup
167,17168,278,Add 1/2 cup
168,17218,156,6 cl
169,17218,350,1.5 cl
170,17218,318,0.75 cl
171,13497,322,1/2 pint hard
172,13497,196,1/2 pint
173,13497,227,1 shot
174,12698,99,2
175,12698,224,2 cups
176,12698,264,1/2 cup
177,12698,220,1 cup iced
178,11600,350,1 oz
179,11600,251,1 oz
180,11600,66,1 oz
181,16987,263,3/4 oz
182,16987,30,3/4 oz
183,16987,350,3/4 oz
184,16987,7,2-3 oz
185,12766,281,1 1/2 cl
186,12766,173,1
187,12766,222,1
188,12766,278,1
189,11007,283,3/4 oz
190,11007,268,1 1/2 oz dry
191,11007,135,1 dash
192,17266,72,2 parts
193,17266,69,2 parts
194,17266,301,4 parts
195,17266,328,1 part
196,17266,254,1/2 part
197,17200,337,3/4 oz
198,17200,119,3/4 oz white
199,17200,248,3/4 oz
200,17245,156,50 ml
201,17245,227,15 ml
202,17245,211,100 ml
203,17245,12,Garnish with
204,16998,350,1/2 oz
205,16998,216,1/2 oz
206,16998,159,1/2 oz
207,16998,3,1/2 oz
208,11339,329,3/4 oz
209,11339,156,1 1/2 oz
210,11339,24,3/4 oz
211,11339,235,1 tsp
212,11339,208,1/4 tsp
213,11339,146,1
214,15082,214,1 1/2 oz
215,15082,111,1 oz
216,15082,216,1/2 oz
217,15082,3,1 oz
218,11989,100,2 oz
219,11989,235,1 oz
220,11989,192,1
221,12890,3,4 cups
222,12890,264,1 1/2 cup
223,12890,11,4 cups
224,12890,96,1 tblsp
225,12890,173,2 qt
226,17202,182,1 long strip
227,17202,8,2 oz
228,17202,173,5 oz
229,17202,86,2 dashes
230,12158,127,1 1/2 oz
231,12158,222,Juice of 1/2
232,12158,131,1/2 tsp
233,12158,317,1/2 slice
234,12158,146,1
235,15849,329,1 qt
236,15849,290,4 fifth
237,15849,350,1 fifth
238,15849,293,4 L
239,15849,7,1/2 gal
240,16419,214,1 shot
241,16419,72,1 shot
242,16419,178,Fill with
243,14482,151,1 part
244,14482,313,1 part
245,14482,7,1 part
246,14482,278,cubes
247,15567,350,01-Feb
248,15567,188,1/2 can
249,15567,220,01-Feb
250,15567,264,10 tsp
251,11690,132,1 oz
252,11690,354,1/2 oz
253,11690,251,1/2 oz
254,11690,207,1 1/2 oz
255,11690,146,1
256,11013,135,2 dashes
257,11013,156,1 1/2 oz
258,11013,165,3/4 oz
259,11013,182,Twist of
260,12748,310,2 cups
261,12748,170,4 oz chopped bittersweet or semi-sweet
262,12748,13,3 2-inch strips
263,12748,195,1/2 tsp instant
264,12748,308,1/8 tsp ground
265,15615,271,1 shot
266,15615,119,2 shots
267,15615,221,2 scoops
268,15615,35,1 oz
269,15615,243,4 oz
270,15615,186,1
271,15615,146,1
272,15615,34,1 piece
273,12656,202,1/2 lb frozen
274,12656,34,1 frozen
275,12656,224,1 cup plain
276,12656,310,1 cup
277,12656,225,to taste
278,15423,196,16 oz
279,15423,288,1.5 oz
280,11375,97,1/2 oz
281,11375,119,1/2 oz
282,11375,248,2 oz
283,12420,24,1 1/2 oz
284,12420,156,1 1/2 oz
285,12420,175,1/4 tsp
286,12420,282,1/4 tsp
287,12420,135,2 dashes
288,12420,146,1
289,12798,19,10 tblsp instant
290,12798,279,4 tblsp
291,12798,264,2 1/2 cups
292,12798,350,1 qt
293,12798,220,2 1/2 cups
294,11050,132,1 1/2 oz
295,11050,329,1 oz
296,11050,251,1 tsp
297,11050,208,1/2 oz
298,11050,213,1
299,11050,300,1
300,12138,127,2 oz
301,12138,8,4 dashes
302,12138,228,4 dashes
303,12138,300,1 slice
304,12138,210,1
305,14364,188,1 can
306,14364,350,5 oz
307,14364,345,7 oz
308,14364,173,About 1 bottle
309,11242,132,1 oz
310,11242,262,1 oz
311,11242,317,Juice of 1/2
312,11242,131,1 tsp
313,11242,213,1
314,11242,312,1
315,14053,254,1 oz
316,14053,301,1 oz
317,14053,310,1 oz
318,15511,72,2 oz
319,15511,310,8 oz
320,15511,319,2 scoops
321,12776,195,1
322,12776,225,Unsweetened
323,12776,118,1
324,12097,345,2 oz light or dark
325,12097,131,2 tsp
326,12097,182,1 twist of
327,12097,220,2 tsp
328,17044,264,2 1/2 cups
329,17044,226,1 cup
330,17044,19,1 1/2 oz instant
331,17044,279,2 oz
332,17044,220,3 cups boiling
333,17044,350,1 fifth
334,12714,59,3
335,12714,14,01-Feb
336,11423,127,1 1/2 oz
337,11423,97,3/4 oz
338,15743,19,01-Feb
339,15743,111,01-Feb
340,16041,203,750 ml
341,16041,7,1 L
342,16041,240,750 ml
343,12724,310,2 cups
344,12724,34,1
345,12724,225,1 tblsp
346,13072,350,2 oz
347,13072,309,2 oz
348,13072,3,4 oz
349,13072,7,4 oz
350,16333,345,1 part
351,16333,350,1 part
352,16333,288,1 part
353,16333,251,1/2 part
354,16333,114,1
355,16333,278,1
356,16333,61,1-3 pint
357,16333,321,1
358,11870,302,1/2 oz
359,11870,156,1 1/2 oz
360,11870,7,4 oz
361,11870,173,1
362,16250,150,1 1/2 oz
363,16250,112,1 oz
364,16250,7,3-4 oz
365,16250,11,3-4 oz
366,16250,3,3-4 oz
367,16196,9,02-May
368,16196,288,02-May
369,16196,235,01-May
370,14372,348,02-Mar
371,14372,66,01-Mar
372,14372,278,Fill with
373,14372,120,Top it up with
374,12474,251,3/4 oz
375,12474,156,3/4 oz
376,12474,11,1 tblsp
377,17228,156,1 1/2 shot
378,17228,70,1 1/2 shot
379,13206,222,2
380,13206,264,2 tblsp
381,13206,162,2-3 oz
382,13206,278,crushed
383,12784,19,black
384,12784,264,1
385,12784,178,pods
386,12784,84,1
387,17239,70,25 ml
388,17239,179,15 ml
389,17239,272,10 ml
390,17239,188,100 ml
391,17239,249,2
392,17198,304,1 1/2 oz
393,17198,97,3/4 oz
394,16178,156,2 jiggers
395,16178,350,1 jigger
396,16178,235,3 dashes
397,16178,66,1 shot
398,16178,264,Around rim put 1 pinch
399,16178,245,3 dashes
400,16178,313,Fill to top with
401,12728,224,1 cup
402,12728,114,1 cup
403,12728,278,1
404,17214,350,2.5 cl
405,17214,292,1.5 cl
406,17214,272,1 cl
407,17214,180,2.5 cl
408,17186,156,1 1/2 oz
409,17186,235,2 tsp
410,17186,317,Juice of 1/2
411,17186,213,1
412,17074,350,1 shot
413,17074,150,1 shot
414,17074,335,1 shot
415,17074,7,1 splash
416,17074,11,1 splash
417,17074,255,1 splash
418,17074,235,1 dash
419,17074,278,crushed
420,17074,47,1 wedge
421,11157,264,1 tsp superfine
422,11157,43,3 oz
423,11157,317,1
424,11157,8,2 oz
425,11157,174,1
426,11157,300,1
427,17215,333,6 cl
428,17215,154,4 cl
429,17215,23,splash
430,17205,290,Chilled
431,17205,7,2 oz
432,11120,156,1 1/2 oz
433,11120,251,1/2 oz
434,11120,227,1/2 oz
435,11120,86,2 dashes
436,11120,174,1
437,11120,182,1 twist of
438,14586,281,1.5 oz
439,14586,235,0.5 oz
440,14586,7,4 oz
441,14586,347,1 splash
442,17216,288,4.5 cl
443,17216,204,1.5 cl
444,17216,187,2 spoons
445,11012,203,1 oz
446,11012,97,1 oz
447,11012,26,1/2 oz
448,11012,208,1 dash
449,12870,122,1 quart black
450,12870,168,1 quart
451,12870,100,1 fifth
452,12870,345,1 pint Jamaican
453,12870,8,1/2 pint
454,12870,184,1 1/2 oz
455,12870,7,1 pint
456,12870,208,1/2 pint
457,11124,156,2 oz
458,11124,24,1/2 oz
459,11124,86,2 dashes
460,11124,175,1/2 tsp
461,11124,174,1
462,11433,156,1 1/2 oz
463,11433,251,1 oz
464,11433,11,1 oz
465,11433,235,1/2 tsp
466,11433,47,1
467,12418,24,1 oz
468,12418,156,1 oz
469,12418,282,1/4 tsp
470,12418,86,2 dashes
471,12418,13,Twist of
472,17212,350,5 cl
473,17212,72,1 cl
474,17212,245,1 dash
475,16289,288,3 oz
476,16289,343,12 oz
477,11046,324,1 oz
478,11046,251,1 oz
479,11046,208,1 oz
480,11938,156,1 1/2 oz
481,11938,235,1 tsp
482,11938,248,1 tsp
483,11938,213,1
484,14065,97,2 oz
485,14065,345,2 oz
486,14065,177,4 oz Grape
487,14860,158,3 parts
488,14860,19,1 part
489,11170,8,2 oz
490,11170,317,Juice of 1/2
491,11170,131,1/2 tsp
492,11170,317,1/2 slice
493,11170,146,1
494,16992,315,750 ml
495,16992,350,1750 ml
496,16992,111,1750 ml
497,16992,7,1 gal
498,16992,3,1 gal
499,13068,288,1/2 oz
500,13068,5,1/2 oz
501,11020,198,1 1/2 oz
502,11020,24,1 oz
503,11020,11,1 oz
504,11985,132,1 1/2
505,11985,268,1/3 oz cream
506,11985,222,Juice of 1/2
507,12528,350,2 oz
508,12528,145,1 oz
509,12528,248,1
510,17177,63,2 tsp
511,17177,222,1
512,17177,106,2 1/2 oz
513,16485,72,1 oz
514,16485,265,1 oz
515,16485,227,1 oz
516,16485,263,1 oz
517,17825,323,4 oz
518,17825,307,1 oz
519,17825,151,1 oz
520,12730,118,1/2 cup
521,12730,264,1 cup
522,12730,261,7 tsp
523,12730,220,1/2 cup
524,12730,310,1 qt
525,17175,106,25 ml
526,17175,180,15 ml
527,17175,346,10 ml
528,17175,290,top up with
529,17179,30,4.5 cL
530,17179,117,2 dashes
531,17179,264,1 cube
532,17179,220,dash
533,11028,97,1 1/2 oz
534,11028,75,3/4 oz
535,17120,315,1 fifth
536,17120,350,1 fifth Smirnoff red label
537,17120,171,2 L
538,17120,215,2 L
539,17120,208,1 small bottle
540,17120,345,1 pint
541,11009,127,1 1/2 oz
542,11009,283,1 oz
543,11009,24,1 oz
544,11009,135,2 dashes
545,17108,39,1 dl
546,17108,208,7 drops
547,16967,350,2 oz
548,16967,260,2 oz
549,16967,32,2 oz
550,16967,278,1
551,16967,308,1
552,11662,156,1 1/2 oz
553,11662,175,1/2 oz
554,11662,135,2 dashes
555,13535,133,1 L
556,13535,44,2 cups
557,13535,350,2 cups
558,12658,202,1/2 lb frozen
559,12658,34,1 frozen
560,12658,197,2 cups fresh
561,17192,8,3 parts
562,17192,262,9 parts
563,17192,341,2 parts
564,13847,246,1 oz
565,13847,97,1 oz
566,17220,76,2 scoops
567,17220,301,1 part
568,17220,310,full glass
569,17220,350,2 parts
570,11524,132,1/2 oz
571,11524,198,1 1/2 oz
572,11524,317,Juice of 1/2
573,11524,131,1 tsp
574,11524,312,1
575,12706,66,4 cl
576,12706,156,2 cl
577,12706,181,4 cl
578,17250,156,3/4 oz
579,17250,149,3/4 oz
580,17250,318,3/4 oz
581,17250,180,3/4 oz
582,17250,9,1 dash
583,13024,100,2 bottles
584,13024,264,1 cup
585,13024,220,2 cups hot
586,13024,238,1 cup
587,13024,300,wedges
588,13024,222,wedges
589,13024,317,1
590,13024,336,1
591,11472,156,2 oz
592,11472,251,1/2 oz
593,11472,11,1 tblsp
594,12256,8,1 1/2 oz
595,12256,89,1 1/2 oz
596,11055,283,1 1/2 tsp
597,11055,156,1 1/2 oz
598,11055,86,2 dashes
599,14087,214,1 shot
600,14087,97,1 shot
601,14087,3,1 shot
602,15266,350,3 parts
603,15266,259,1 part
604,15266,197,6 parts
605,15266,208,1 1/2 part
606,15266,188,1
607,13389,196,1/2 pint
608,13389,322,1/2 pint sweet or dry
609,12188,268,2 oz cream
610,12188,131,1 tsp
611,12188,108,1 whole
612,12188,310,1
613,12188,308,1
614,13066,235,1
615,13066,72,1
616,13066,263,1
617,16100,347,2 oz
618,16100,97,2 oz
619,16100,288,2 oz
620,16100,7,Add splash
621,12402,156,2 oz
622,12402,208,1 oz
623,12402,264,1 tsp superfine
624,12402,43,3 oz
625,12402,174,1
626,12402,300,1
627,15997,101,2 1/2 shots
628,15997,173,1
629,15997,278,1
630,17006,161,2 oz light
631,17006,177,1/2 tsp Tropical
632,11021,24,1 oz
633,11021,30,1 oz
634,11021,112,1 1/2 tsp
635,11021,208,1 1/2 tsp
636,11021,182,1 twist of
637,16108,348,2 oz
638,16108,29,1/2 oz
639,16108,232,1 splash
640,16108,7,1 oz
641,12718,276,1/4 inch
642,12718,47,01-Feb
643,16991,340,2 part
644,16991,133,1 part
645,16991,288,2 shots
646,16991,161,Float Bacardi
647,11410,156,2 oz
648,11410,317,Juice of 1/2
649,11410,131,1 tsp
650,11410,312,1
651,12362,288,2 oz
652,12362,208,1 tblsp
653,12362,235,3/4 oz
654,12362,213,1
655,12362,173,1
656,11102,145,3/4 oz
657,11102,350,1 1/2 oz
658,17118,104,5 oz blue
659,17118,171,5 oz
660,17118,278,cubes
661,13861,263,1 part
662,13861,342,1 part
663,13861,310,1 part
664,17252,350,1 1/2 oz
665,17252,326,3 oz
666,17094,97,1 shot
667,17094,158,1 shot
668,17094,203,1 shot
669,16047,196,1 bottle
670,16047,154,1 1/2 cl
671,13899,246,1/3 oz
672,13899,18,1/3 oz
673,13899,77,1/3 oz
674,15801,311,1.5 oz
675,15801,142,12 oz
676,16990,296,2 shots
677,16990,310,1
678,17195,290,6 oz
679,17195,111,1 oz
680,14782,242,1 shot
681,14782,263,3/4 shot
682,14782,19,6 oz hot
683,14610,161,1 oz Bacardi
684,14610,20,1 oz
685,13200,134,12 oz
686,13200,80,12 oz
687,13200,188,12 oz frozen
688,13200,278,1 cup crushed
689,14578,97,1 cl
690,14578,7,4 oz
691,14578,235,1/4 cl
692,11112,288,1 oz
693,11112,0,2 oz
694,11112,208,1 dash
695,11112,5,1 dash
696,11112,244,1 dash
697,11112,317,1 slice
698,17217,288,6 cl
699,17217,81,3 cl
700,17217,338,3 cl
701,17217,204,1.5 cl
702,17217,272,1 dash
703,17217,61,1 pinch
704,12876,315,2 pint
705,12876,289,1 bottle Boone Strawberry Hill
706,12876,7,1/2 gal
707,12876,177,1 gal Tropical Berry
708,12762,97,1 part
709,12762,42,1 part
710,12762,72,1 part
711,12762,310,2 1/2 parts
712,11666,312,1
713,11666,156,1
714,11666,24,1
715,11666,131,1
716,11666,267,1
717,11666,182,1
718,17035,169,1
719,17035,40,1 shot
720,17227,283,2 shots
721,17227,24,1 shot
722,17227,23,Top up with
723,17105,227,1
724,17105,79,1
725,17105,350,1
726,17105,347,1
727,17105,293,1
728,16134,348,1 shot
729,16134,7,1 shot
730,16134,251,1 shot
731,16134,173,Fill to top
732,13042,11,46 oz chilled
733,13042,43,28 oz
734,13042,7,6 oz frozen
735,13042,317,1
736,13042,58,2 cups
737,13042,290,1 bottle
738,15300,156,1/2 oz
739,15300,132,1/2 oz
740,15300,288,1/2 oz
741,15300,251,1/2 oz
742,15300,350,1/2 oz
743,15300,39,1
744,15300,207,1-2 dash
745,15300,86,1 wedge
746,15300,317,1
747,13405,265,30 ml white
748,13405,54,30 ml
749,13405,327,5 ml
750,17167,167,2 oz
751,17167,192,4 oz
752,17167,278,1
753,11147,30,2 oz
754,11147,208,1 oz
755,11147,264,1/2 tsp superfine
756,11147,300,1
757,11147,174,1
758,17241,345,1 1/2 oz
759,17241,299,1 1/2 oz
760,17241,161,1 oz
761,17241,115,1 tsp
762,17241,235,1 tsp
763,17241,204,1 tsp
764,17241,64,1 drop
765,11255,283,1 oz
766,11255,26,1/2 oz
767,11255,289,1/2 oz Muscatel
768,16202,97,1
769,16202,207,1
770,16202,311,1
